Station,Year,Julian_day,Hr/Min,Bvolt,Ptemp,Solar,Rain,Ambient,Humidity,WD,WS,BaromP,Atmometer,SoilT ,SoilT,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM
133,2013,4,500,10.1,-4.538,0,0,-2.833,91.2,182.8,0.152,997,0.2,6.896,9.19,3.508,2.927,2.288,20.88,1.385,8.73,1.3,1.484,-18,-16,-13,-104,-10,-40,-9,-10
133,2013,4,600,10.07,-4.776,0,0,-3.053,91.6,227.1,0.185,997,0.2,6.668,9.07,3.527,2.948,2.285,21.06,1.385,8.82,1.3,1.484,-18,-16,-13,-105,-10,-40,-9,-10
133,2013,4,700,9.82,-4.805,0,0,-3.309,91.8,290.6,0.208,998,0.2,6.539,9.16,3.554,2.97,2.284,21.28,1.385,8.92,1.28,1.484,-18,-16,-13,-106,-10,-41,-9,-10
133,2013,4,800,9.72,-4.933,0.007,0,-3.304,92.2,306,0.125,998,0.2,6.322,9.08,3.58,2.993,2.283,21.47,1.386,8.99,1.3,1.484,-18,-16,-13,-107,-10,-41,-9,-10
133,2013,4,900,9.89,-4.374,0.298,0,-2.283,91.7,241.5,0.21,999,0.2,4.991,7.89,3.605,3.014,2.28,21.61,1.386,9.06,1.299,1.484,-18,-16,-13,-106,-10,-41,-9,-10
133,2013,4,1000,10.51,0.518,0.93,0,0.76,77,76.7,0.798,999,0.2,3.47,6.467,3.63,3.035,2.281,21.36,1.387,9.12,1.3,1.484,-18,-16,-13,-102,-9,-40,-9,-10
133,2013,4,1100,11.21,5.516,1.387,0,2.583,60.99,112.8,1.031,1000,0.2,3.925,6.951,3.647,3.049,2.28,20.61,1.388,9.17,1.3,1.484,-18,-16,-13,-98,-9,-41,-9,-10
133,2013,4,1200,11.52,9.47,1.703,0,3.733,53.77,146.6,1.29,1000,0.202,4.519,7.45,3.653,3.047,2.279,19.64,1.388,9.19,1.301,1.483,-18,-16,-13,-93,-10,-41,-9,-10
133,2013,4,1300,11.42,11.11,1.265,0,4.408,49.79,107.4,1.402,999,0.201,6.319,8.94,3.639,3.028,2.277,18.82,1.388,9.22,1.304,1.483,-18,-16,-13,-91,-10,-42,-9,-10
133,2013,4,1400,11.48,10.17,1.549,0,5.21,47.16,161.8,1.499,998,0.224,6.654,8.86,3.613,2.999,2.277,18.53,1.388,9.25,1.301,1.482,-18,-16,-13,-89,-10,-42,-9,-10
133,2013,4,1500,11.61,10.97,1.545,0,6.806,42.03,144.9,1.347,997,0.215,6.808,8.71,3.58,2.97,2.277,18.02,1.389,9.28,1.315,1.482,-18,-16,-13,-86,-10,-42,-9,-10
133,2013,4,1600,11.56,11.23,1.097,0,6.919,41.3,197.8,1.582,997,0.248,7.76,9.23,3.545,2.938,2.279,17.72,1.389,9.28,1.307,1.482,-18,-16,-13,-85,-10,-42,-9,-10
133,2013,4,1700,11.3,10.03,0.447,0,6.508,41.44,188.7,1.001,997,0.202,8.77,9.91,3.51,2.908,2.273,17.87,1.391,9.29,1.303,1.482,-18,-16,-13,-87,-10,-43,-10,-10
133,2013,4,1800,11.11,6.659,0.037,0,4.847,47,243.8,1.019,998,0.205,9.18,10.03,3.481,2.886,2.266,18.34,1.391,9.28,1.299,1.481,-18,-16,-13,-90,-10,-43,-10,-10
133,2013,4,1900,11.09,4.367,0,0,4.312,46.75,267.2,1.035,998,0.207,8.55,9.31,3.461,2.879,2.266,18.77,1.391,9.27,1.298,1.481,-18,-16,-13,-91,-10,-42,-9,-10
133,2013,4,2000,11.06,2.832,0,0,3.296,50.68,261.2,0.491,998,0.2,8.68,9.47,3.459,2.882,2.254,19.23,1.391,9.27,1.298,1.48,-18,-16,-13,-94,-10,-43,-9,-10
133,2013,4,2100,11.03,0.818,0,0,1.002,66.51,200.8,0.508,998,0.2,8.63,9.52,3.464,2.891,2.247,19.66,1.391,9.26,1.298,1.48,-18,-16,-13,-97,-10,-43,-9,-10
133,2013,4,2200,10.99,-1.07,0,0,-0.309,75.6,137.2,0.155,999,0.2,8.31,9.35,3.48,2.904,2.241,20.04,1.391,9.25,1.298,1.48,-18,-16,-13,-99,-10,-42,-9,-10
133,2013,4,2300,10.96,-2.258,0,0,-0.834,81.8,178.1,0.438,999,0.2,7.9,9.12,3.502,2.922,2.236,20.41,1.392,9.25,1.298,1.48,-18,-16,-13,-101,-10,-42,-9,-10
133,2013,4,2400,10.92,-2.87,0,0,-1.473,82.8,21.72,0.304,999,0.2,7.6,9.02,3.526,2.941,2.231,20.78,1.391,9.25,1.298,1.479,-18,-16,-13,-103,-10,-42,-9,-10
133,2013,5,100,10.87,-3.445,0,0,-1.82,84.7,36.41,0.549,999,0.2,7.35,8.98,3.549,2.962,2.225,21.09,1.391,9.24,1.298,1.479,-18,-16,-13,-105,-10,-42,-9,-10
133,2013,5,200,10.81,-3.509,0,0,-1.9,86.5,160,0.959,999,0.2,7.01,8.82,3.575,2.984,2.221,21.34,1.391,9.24,1.298,1.479,-18,-16,-13,-106,-10,-42,-9,-10
133,2013,5,300,10.72,-3.446,0,0,-2.234,84.8,187.5,1.284,998,0.203,6.887,8.85,3.6,3.005,2.217,21.63,1.392,9.23,1.298,1.479,-18,-16,-13,-108,-10,-42,-9,-10
133,2013,5,400,10.58,-3.594,0,0,-2.519,84.8,192,1.016,998,0.2,6.78,8.93,3.625,3.026,2.214,21.9,1.392,9.23,1.298,1.479,-18,-16,-13,-110,-10,-42,-9,-10
133,2013,5,500,10.36,-3.949,0,0,-2.822,86.5,118.4,0.664,998,0.2,6.634,8.96,3.649,3.048,2.212,22.12,1.393,9.23,1.298,1.478,-18,-16,-13,-111,-10,-42,-9,-10
133,2013,5,600,10.14,-4.295,0,0,-2.885,87.9,119.1,0.821,998,0.2,6.423,8.84,3.675,3.069,2.21,22.35,1.393,9.22,1.297,1.478,-19,-16,-13,-112,-10,-42,-9,-10
133,2013,5,700,9.95,-4.233,0,0,-2.862,87.4,102.3,0.775,998,0.2,6.176,8.76,3.706,3.091,2.208,22.51,1.394,9.22,1.297,1.478,-19,-16,-13,-113,-10,-42,-9,-10
133,2013,5,800,9.81,-4.234,0.009,0,-2.926,87.2,240.9,0.921,999,0.2,6.008,8.74,3.728,3.112,2.208,22.66,1.394,9.21,1.297,1.478,-19,-16,-13,-114,-10,-42,-9,-10
133,2013,5,900,9.86,-6999,0.233,0,-2.49,83.5,253.3,1.386,999,0.204,-6999,-6999,3.752,3.132,2.206,22.73,1.394,9.2,1.297,1.477,0,0,0,-1,0,0,0,0
133,2013,5,1000,10.52,-0.867,0.807,0,-0.912,78.5,223,1.44,999,0.223,3.731,6.719,3.769,3.15,2.204,22.49,1.394,9.2,1.298,1.477,-18,-16,-12,-109,-9,-41,-9,-10
133,2013,5,1100,11.27,3.933,1.269,0,1.296,70.9,179.8,1.938,998,0.271,3.866,6.843,3.784,3.163,2.204,21.8,1.394,9.19,1.298,1.477,-18,-16,-12,-105,-9,-41,-9,-10
133,2013,5,1200,11.52,7.95,1.529,0,3.731,58.92,117.5,1.307,998,0.215,4.304,7.17,3.79,3.162,2.203,20.89,1.395,9.19,1.299,1.477,-19,-16,-13,-100,-10,-41,-9,-10
133,2013,5,1300,11.57,10.97,1.628,0,5.294,47.44,114.1,1.18,997,0.206,5.249,7.95,3.777,3.145,2.203,20.02,1.396,9.19,1.301,1.476,-19,-16,-13,-96,-10,-41,-9,-10
133,2013,5,1400,11.6,12.32,1.62,0,6.646,41.69,115.1,1.013,995,0.209,6.045,8.39,3.749,3.115,2.204,19.27,1.397,9.2,1.301,1.476,-19,-16,-13,-93,-10,-42,-9,-10
133,2013,5,1500,11.46,12.96,1.179,0,7.58,38.3,203.1,1.01,994,0.2,6.79,8.7,3.709,3.078,2.202,18.76,1.397,9.2,1.3,1.476,-19,-16,-13,-90,-10,-42,-9,-10
133,2013,5,1600,11.28,12.69,0.651,0,7.99,38.34,181.6,1.217,994,0.204,7.65,9.12,3.668,3.041,2.2,18.66,1.398,9.19,1.301,1.475,-19,-16,-13,-90,-10,-42,-9,-10
133,2013,5,1700,11.13,11.39,0.182,0,7.73,38.52,184.5,0.692,994,0.201,8.33,9.37,3.626,3.009,2.197,18.81,1.398,9.23,1.299,1.475,-18,-16,-13,-92,-10,-42,-9,-10
133,2013,5,1800,11.06,9.76,0.016,0,7.21,42.1,137.3,0.754,994,0.201,8.41,9.27,3.594,2.988,2.194,19.08,1.399,9.34,1.298,1.475,-18,-16,-13,-93,-10,-43,-9,-10
133,2013,5,1900,11.01,8.46,0,0,6.7,46.18,164.5,0.392,994,0.2,8.4,9.11,3.574,2.976,2.188,19.34,1.4,9.35,1.298,1.475,-18,-16,-13,-94,-10,-43,-9,-10
133,2013,5,2000,10.97,7.59,0,0,6.281,48.52,143.3,1.159,994,0.202,8.35,9.01,3.564,2.971,2.185,19.55,1.401,9.36,1.299,1.475,-18,-16,-13,-95,-10,-43,-9,-10
133,2013,5,2100,10.93,7.02,0,0,5.738,56.3,140.7,1.076,995,0.2,8.34,8.99,3.559,2.97,2.178,19.73,1.401,9.37,1.304,1.475,-18,-16,-13,-96,-10,-43,-9,-10
133,2013,5,2200,10.88,6.121,0,0.626,4.411,76.2,138.7,0.386,995,0.201,8.42,9.06,3.559,2.971,2.171,19.86,1.401,9.38,1.303,1.475,-18,-16,-13,-97,-10,-43,-9,-10
133,2013,5,2300,10.83,5.043,0,0.939,3.79,83,191.5,0.997,994,0.211,8.29,9.03,3.567,2.975,2.165,19.97,1.402,9.39,1.3,1.475,-18,-16,-13,-98,-10,-43,-9,-10
